user_id	device	city	country	continent	region	sub_countinent	metropolice	revenue
7673382.39573999	tablet	(not set)	Morocco	Africa	(not set)	Northern Africa	(not set)	
91106616.9893917	mobile	(not set)	Belgium	Europe	Wallonia	Western Europe	(not set)	
8835668442.81628	tablet	Budapest	Hungary	Europe	Budapest	Eastern Europe	(not set)	
5516681.83151334	desktop	Tel Aviv-Yafo	Israel	Asia	Tel Aviv District	Western Asia	(not set)	
8140735.12573171	mobile	Ljubljana	Slovenia	Europe	Ljubljana	Southern Europe	(not set)	
64588379.6399145	mobile	(not set)	Norway	Europe	(not set)	Northern Europe	(not set)	
69316991.2395413	desktop	(not set)	South Africa	Africa	Gauteng	Southern Africa	(not set)	
3158027.11926385	desktop	(not set)	Romania	Europe	(not set)	Eastern Europe	(not set)	
4114446.96586732	mobile	(not set)	Bulgaria	Europe	(not set)	Eastern Europe	(not set)	
8219452.49344786	desktop	Makati	Philippines	Asia	Metro Manila	Southeast Asia	(not set)	
22151706.2897575	mobile	New Cairo City	Egypt	Africa	Cairo Governorate	Northern Africa	(not set)	
26875116.2976847	mobile	Jeddah	Saudi Arabia	Asia	Makkah Province	Western Asia	(not set)	
64304015.9676851	desktop	(not set)	Philippines	Asia	Calabarzon	Southeast Asia	(not set)	
7047990.27594267	desktop	Vienna	Austria	Europe	Vienna	Western Europe	(not set)	
77915559.2750987	desktop	(not set)	Chile	Americas	(not set)	South America	(not set)	
3325710.68155003	desktop	Minsk	Belarus	Europe	Minsk Region	Eastern Europe	(not set)	
8090499.41416459	desktop	Cairo	Egypt	Africa	Cairo Governorate	Northern Africa	(not set)	
8384382.3870237	desktop	(not set)	Bosnia & Herzegovina	Europe	Federation of Bosnia and Herzegovina	Southern Europe	(not set)	
10206562.2026717	mobile	(not set)	Vietnam	Asia	(not set)	Southeast Asia	(not set)	
39204934.831671	desktop	Dubai	United Arab Emirates	Asia	Dubai	Western Asia	(not set)	
57693320.8172001	mobile	(not set)	Romania	Europe	(not set)	Eastern Europe	(not set)	
89087134.6179288	mobile	(not set)	Peru	Americas	(not set)	South America	(not set)	
2003539587.95662	desktop	(not set)	Romania	Europe	(not set)	Eastern Europe	(not set)	
8085788.57706337	desktop	(not set)	Palestine	Asia	(not set)	Western Asia	(not set)	
8484095.6915048	mobile	(not set)	Peru	Americas	(not set)	South America	(not set)	
8707944.03803688	desktop	(not set)	Romania	Europe	(not set)	Eastern Europe	(not set)	
80781582.8711489	mobile	Cairo	Egypt	Africa	Cairo Governorate	Northern Africa	(not set)	
83576334.2934859	desktop	Karachi	Pakistan	Asia	Sindh	Southern Asia	(not set)	
2041165.22071367	mobile	(not set)	Pakistan	Asia	(not set)	Southern Asia	(not set)	
6630704.19844261	desktop	(not set)	Palestine	Asia	(not set)	Western Asia	(not set)	
59918295.6230954	desktop	Quezon City	Philippines	Asia	Metro Manila	Southeast Asia	(not set)	
80192400.6516789	desktop	(not set)	Philippines	Asia	Calabarzon	Southeast Asia	(not set)	
31965128.8291592	desktop	(not set)	Thailand	Asia	(not set)	Southeast Asia	(not set)	
4670918.67387231	desktop	Quezon City	Philippines	Asia	Metro Manila	Southeast Asia	(not set)	
23853336.4317073	desktop	Antwerp	Belgium	Europe	Flanders	Western Europe	(not set)	
30842730.3773422	mobile	(not set)	Israel	Asia	Center District	Western Asia	(not set)	
18565120.0479061	tablet	(not set)	Belgium	Europe	Flanders	Western Europe	(not set)	
2575644.13736391	mobile	Athens	Greece	Europe	Attica	Southern Europe	(not set)	
5610660.41721596	mobile	Colombo	Sri Lanka	Asia	Western Province	Southern Asia	(not set)	
4114220114.68222	mobile	Tel Aviv-Yafo	Israel	Asia	Tel Aviv District	Western Asia	(not set)	
1846559.52871043	desktop	Bratislava	Slovakia	Europe	Bratislava Region	Eastern Europe	(not set)	
5474273.31291721	mobile	Ho Chi Minh City	Vietnam	Asia	Ho Chi Minh City	Southeast Asia	(not set)	
14439047.1552737	desktop	(not set)	Palestine	Asia	(not set)	Western Asia	(not set)	
17544968.1886303	desktop	(not set)	Norway	Europe	(not set)	Northern Europe	(not set)	
55160206.6934628	desktop	Dhaka	Bangladesh	Asia	(not set)	Southern Asia	(not set)	
69964616.9090761	desktop	Antwerp	Belgium	Europe	Flanders	Western Europe	(not set)	
5546483263.2516	desktop	(not set)	Portugal	Europe	Lisbon	Southern Europe	(not set)	
