user_id	device	city	country	continent	region	sub_countinent	metropolice	revenue
79364311.6474751	desktop	(not set)	Peru	Americas	(not set)	South America	(not set)	
19592262.1675127	desktop	(not set)	Israel	Asia	Jerusalem District	Western Asia	(not set)	
32040469.3477414	desktop	Baku	Azerbaijan	Asia	(not set)	Western Asia	(not set)	
8220860.71962083	desktop	(not set)	Albania	Europe	(not set)	Southern Europe	(not set)	
50464757.4760731	desktop	Dubai	United Arab Emirates	Asia	Dubai	Western Asia	(not set)	
67284300.8897684	desktop	Lisbon	Portugal	Europe	Lisbon	Southern Europe	(not set)	
8798447.78783531	desktop	(not set)	Albania	Europe	(not set)	Southern Europe	(not set)	
1174066.64370278	mobile	Bogota	Colombia	Americas	Bogota	South America	(not set)	
90963961.2630317	desktop	(not set)	Czechia	Europe	South Moravian Region	Eastern Europe	(not set)	
12480877.143003	desktop	(not set)	Thailand	Asia	(not set)	Southeast Asia	(not set)	
64489888.5963828	desktop	Odesa	Ukraine	Europe	Odessa Oblast	Eastern Europe	(not set)	
4444737.56544371	desktop	(not set)	Peru	Americas	(not set)	South America	(not set)	
8976562536.12989	mobile	Sofia	Bulgaria	Europe	Sofia City Province	Eastern Europe	(not set)	
6776269.23216221	desktop	(not set)	United Arab Emirates	Asia	(not set)	Western Asia	(not set)	
76205146.7808459	mobile	(not set)	Czechia	Europe	(not set)	Eastern Europe	(not set)	
2105935.189842	mobile	(not set)	South Africa	Africa	Gauteng	Southern Africa	(not set)	
29385995.0577075	desktop	Meycauayan	Philippines	Asia	Central Luzon	Southeast Asia	(not set)	
67474555.0551003	desktop	Bangkok	Thailand	Asia	Bangkok	Southeast Asia	(not set)	
93460391.84621	desktop	Athens	Greece	Europe	Attica	Southern Europe	(not set)	
7595196.09565471	desktop	Lagos	Nigeria	Africa	Lagos	Western Africa	(not set)	
8404760.65495862	mobile	(not set)	Greece	Europe	Decentralized Administration of Macedonia and Thrace	Southern Europe	(not set)	
49793580.2251756	desktop	Karachi	Pakistan	Asia	Sindh	Southern Asia	(not set)	
56750391.5325848	tablet	(not set)	Hungary	Europe	(not set)	Eastern Europe	(not set)	
43172165.2489224	mobile	(not set)	Portugal	Europe	(not set)	Southern Europe	(not set)	
